sym,pair,n,diff_med,dev_std,dev_p99,spread_sum_bp,cost_taker_bp,exc_taker_pct,exc_maker_pct
TSLA,bnperp-gateperp,9898,2.6,2.5,8.2,2.0,27.0,0.0,9.5
TSLA,bnperp-hlperp,9883,1.0,6.7,27.0,1.5,25.5,1.2,8.8
TSLA,gateperp-hlperp,9883,-1.8,7.0,28.0,2.9,31.9,0.69,41.8
TSLA,mexcon-bnperp,9883,-3.3,11.4,32.7,13.8,33.8,0.65,49.4
TSLA,okxx-bnperp,7593,6.6,12.6,51.1,3.5,33.5,2.3,5.5
TSLA,bybitx-xstocks,9885,-3.1,6.2,19.4,7.4,87.4,0.0,0.0
TSLA,bstocks-bnperp,9896,5.8,3.8,11.8,3.2,33.2,0.0,9.9
TSLA,gstocks-gateperp,9895,8.2,5.3,16.4,6.5,61.5,0.01,0.1
NVDA,bnperp-gateperp,9899,3.3,2.8,9.4,1.7,26.7,0.0,11.3
NVDA,bnperp-hlperp,9884,3.5,7.5,29.1,1.2,25.2,1.47,12.1
NVDA,gateperp-hlperp,9884,0.4,7.9,29.9,1.9,30.9,0.83,47.0
NVDA,mexcon-bnperp,9883,3.0,7.9,22.6,6.1,26.1,0.6,40.2
NVDA,okxx-bnperp,7594,3.0,10.3,37.5,2.0,32.0,1.83,4.8
NVDA,bybitx-xstocks,9886,1.5,5.3,14.0,3.2,83.2,0.0,0.0
NVDA,bstocks-bnperp,9897,-2.8,4.1,13.6,4.9,34.9,0.0,12.3
NVDA,gstocks-gateperp,9896,1.4,4.6,15.0,8.0,63.0,0.0,0.0
MU,bnperp-gateperp,9899,-5.3,3.1,10.6,1.4,26.4,0.01,14.2
MU,bnperp-hlperp,9884,1.3,17.7,66.4,0.6,24.6,11.49,34.5
MU,gateperp-hlperp,9884,6.9,17.8,68.1,1.2,30.2,7.98,65.5
MU,mexcon-bnperp,9883,7.7,28.1,78.3,63.8,83.8,0.59,78.6
MU,okxx-bnperp,7774,8.8,22.2,105.9,1.5,31.5,8.41,15.2
MU,bstocks-bnperp,9897,6.2,4.7,15.1,3.7,33.7,0.0,16.0
MU,gstocks-gateperp,9896,1.4,8.7,34.2,6.1,61.1,0.07,0.6
SNDK,bnperp-gateperp,9900,-11.3,4.2,16.0,0.5,25.5,0.01,18.7
SNDK,bnperp-mexcperp,9887,0.0,3.7,13.6,0.2,10.2,2.57,9.7
SNDK,gateperp-mexcperp,9887,11.3,5.4,19.4,0.5,15.5,2.37,50.8
SNDK,bnperp-hlperp,9885,0.9,24.9,100.0,2.0,26.0,16.14,42.6
SNDK,gateperp-hlperp,9885,10.8,25.1,100.8,2.3,31.3,12.22,72.3
SNDK,mexcon-bnperp,9883,17.9,46.9,154.0,101.8,121.8,2.33,85.8
SNDK,okxx-bnperp,7595,6.8,31.3,132.3,3.4,33.4,13.4,22.7
SNDK,bstocks-bnperp,9897,5.6,5.0,15.7,5.1,35.1,0.0,18.8
SNDK,gstocks-gateperp,9896,-5.0,10.7,40.5,14.4,69.4,0.11,1.1
CRCL,bnperp-gateperp,9899,3.4,3.7,11.7,5.9,30.9,0.0,22.1
CRCL,bnperp-mexcperp,9887,0.0,3.4,12.7,3.0,13.0,0.95,7.8
CRCL,gateperp-mexcperp,9887,-3.3,4.2,13.5,5.9,20.9,0.15,48.1
CRCL,bnperp-hlperp,9885,1.6,15.3,62.2,3.3,27.3,6.69,29.2
CRCL,gateperp-hlperp,9885,-2.5,15.7,62.3,6.2,35.2,4.19,67.4
CRCL,mexcon-bnperp,9882,-1.6,16.7,41.1,13.1,33.1,2.68,53.5
CRCL,okxx-bnperp,7535,14.3,18.5,63.2,5.1,35.1,5.36,16.7
CRCL,bybitx-xstocks,9886,-1.6,13.2,44.2,10.9,90.9,0.0,0.0
CRCL,bstocks-bnperp,9897,3.3,5.9,18.4,5.1,35.1,0.01,26.6
CRCL,gstocks-gateperp,9896,6.6,8.6,28.6,12.4,67.4,0.04,0.3
